Count;Channel;Notes;Velocity
775;1;66;33
776;1;66;0
777;1;69;40
778;1;64;72
779;1;64;0
780;1;72;0
781;1;69;0
782;1;73;81
783;1;61;69
784;1;64;72
785;1;64;127
786;1;61;0
787;1;66;37
788;1;66;0
789;1;69;37
790;1;64;40
791;1;64;0
792;1;73;0
793;1;69;0
794;1;63;64
795;1;75;78
796;1;64;40
797;1;64;127
798;1;63;0
799;1;66;35
800;1;66;0
801;1;68;36
802;1;68;0
803;1;63;52
804;1;63;0
805;1;66;25
806;1;66;0
807;1;68;46
808;1;68;0
809;1;63;43
810;1;63;0
811;1;66;33
812;1;66;0
813;1;68;34
814;1;75;0
815;1;68;0
816;1;75;71
817;1;63;69
818;1;64;0
819;1;64;104
820;1;64;127
821;1;63;0
822;1;66;34
823;1;66;0
824;1;68;36
825;1;75;0
826;1;68;0
827;1;76;71
828;1;64;56
829;1;64;40
830;1;64;0
831;1;64;40
832;1;64;127
833;1;64;0
834;1;68;36
835;1;68;0
836;1;73;37
837;1;73;0
838;1;64;30
839;1;64;0
840;1;68;25
841;1;68;0
842;1;73;32
843;1;64;104
844;1;64;0
845;1;73;0
846;1;75;56
847;1;63;45
848;1;64;72
849;1;64;127
850;1;63;0
851;1;66;44
852;1;66;0
853;1;69;46
854;1;64;24
855;1;75;0
856;1;76;0
857;1;69;0
858;1;73;71
859;1;61;38
860;1;64;0
861;1;64;72
862;1;64;127
863;1;61;0
864;1;64;56
865;1;64;0
866;1;70;51
867;1;64;72
868;1;73;0
869;1;70;0
870;1;72;41
871;1;64;0
872;1;64;88
873;1;64;127
874;1;60;24
875;1;60;0
876;1;63;33
877;1;72;0
878;1;63;0
879;1;68;58
880;1;60;33
881;1;60;0
882;1;63;47
883;1;68;0
884;1;63;0
885;1;69;66
886;1;60;29
887;1;60;0
888;1;63;31
889;1;69;0
890;1;63;0
891;1;66;43
892;1;60;29
893;1;60;0
894;1;63;37
895;1;66;0
896;1;63;0
897;1;64;24
898;1;64;0
899;1;64;56
900;1;64;127
901;1;64;104
902;1;57;74
903;1;64;0
904;1;64;40
905;1;64;88
906;1;64;127
907;1;57;0
908;1;64;56
909;1;64;0
910;1;64;56
911;1;64;127
912;1;64;40
913;1;68;27
914;1;64;0
915;1;68;0
916;1;73;64
917;1;64;31
918;1;64;0
919;1;68;27
920;1;73;0
921;1;68;0
922;1;76;70
923;1;64;25
924;1;64;0
925;1;68;29
926;1;76;0
927;1;68;0
928;1;73;51
929;1;64;28
930;1;64;0
931;1;68;30
932;1;64;104
933;1;64;0
934;1;73;0
935;1;68;0
936;1;64;40
937;1;64;127
938;1;61;59
939;1;61;0
940;1;64;68
941;1;64;0
942;1;61;47
943;1;64;88
944;1;61;0
945;1;64;0
946;1;64;56
947;1;64;127
948;1;57;31
949;1;57;0
950;1;60;51
951;1;60;0
952;1;57;44
953;1;57;0
954;1;63;58
955;1;63;0
956;1;60;57
957;1;60;0
958;1;66;50
959;1;66;0
960;1;63;48
961;1;63;0
962;1;69;56
963;1;69;0
964;1;66;50
965;1;66;0
966;1;72;57
967;1;72;0
968;1;64;0
969;1;64;40
970;1;64;127
971;1;61;34
972;1;61;0
973;1;64;56
974;1;64;0
975;1;61;39
976;1;61;0
977;1;68;62
978;1;68;0
979;1;64;46
980;1;64;0
981;1;73;63
982;1;73;0
983;1;68;46
984;1;68;0
985;1;76;57
986;1;76;0
987;1;73;26
988;1;73;0
989;1;68;33
990;1;68;0
991;1;61;45
992;1;64;24
993;1;64;0
994;1;64;40
995;1;64;127
996;1;61;0
997;1;67;52
998;1;67;0
999;1;64;53
1000;1;64;0
1001;1;70;56
1002;1;70;0
1003;1;67;35
1004;1;67;0
1005;1;73;56
1006;1;73;0
1007;1;70;44
1008;1;70;0
1009;1;76;66
1010;1;76;0
1011;1;73;42
1012;1;73;0
1013;1;79;63
1014;1;79;0
1015;1;76;40
1016;1;76;0
1017;1;82;33
1018;1;82;0
1019;1;66;29
1020;1;64;56
1021;1;64;0
1022;1;64;56
1023;1;64;127
1024;1;66;0
1025;1;72;41
1026;1;72;0
1027;1;69;45
1028;1;69;0
1029;1;75;54
1030;1;75;0
1031;1;72;33
1032;1;72;0
1033;1;78;48
1034;1;78;0
1035;1;75;48
1036;1;75;0
1037;1;81;43
1038;1;81;0
1039;1;78;45
1040;1;78;0
1041;1;84;68
1042;1;84;0
1043;1;81;40
1044;1;81;0
1045;1;87;48
1046;1;87;0
1047;1;84;57
1048;1;84;0
1049;1;78;32
1050;1;78;0
1051;1;81;28
1052;1;81;0
1053;1;75;47
1054;1;75;0
1055;1;78;39
1056;1;78;0
1057;1;72;36
1058;1;72;0
1059;1;75;55
1060;1;75;0
1061;1;69;34
1062;1;69;0
1063;1;72;33
1064;1;72;0
1065;1;66;44
1066;1;66;0
1067;1;69;26
1068;1;69;0
1069;1;63;31
1070;1;63;0
1071;1;66;49
1072;1;66;0
1073;1;60;39
1074;1;60;0
1075;1;63;25
1076;1;63;0
1077;1;57;48
1078;1;64;104
1079;1;64;40
1080;1;64;0
1081;1;64;56
1082;1;64;104
1083;1;64;127
1084;1;57;0
1085;1;60;33
1086;1;60;0
1087;1;57;30
1088;1;57;0
1089;1;64;40
1090;1;64;0
1091;1;64;127
1092;1;57;35
1093;1;57;0
1094;1;64;104
1095;1;64;0
1096;1;64;56
1097;1;64;127
1098;1;57;62
1099;1;57;0
1100;1;64;56
1101;1;64;0
1102;1;64;56
1103;1;64;127
1104;1;57;40
1105;1;64;0
1106;1;57;0
1107;1;64;40
1108;1;64;104
1109;1;64;127
1110;1;57;32
1111;1;64;0
1112;1;57;0
1113;1;64;104
1114;1;64;127
1115;1;57;82
1116;1;57;0
1117;1;64;56
1118;1;64;0
1119;1;64;88
1120;1;64;127
1121;1;57;36
1122;1;64;40
1123;1;64;0
1124;1;57;0
1125;1;64;40
1126;1;64;72
1127;1;64;127
1128;1;57;41
1129;1;64;104
1130;1;64;0
1131;1;57;0
1132;1;64;72
1133;1;64;127
1134;1;57;54
1135;1;57;0
1136;1;64;24
1137;1;64;0
1138;1;64;24
1139;1;64;72
1140;1;64;127
1141;1;61;44
1142;1;61;0
1143;1;61;37
1144;1;64;88
1145;1;64;0
1146;1;61;0
1147;1;64;56
1148;1;64;127
1149;1;57;36
1150;1;57;0
1151;1;61;43
1152;1;61;0
1153;1;57;28
1154;1;57;0
1155;1;61;25
1156;1;64;104
1157;1;61;0
1158;1;64;0
1159;1;64;88
1160;1;64;127
1161;1;60;34
1162;1;60;0
1163;1;60;33
1164;1;60;0
1165;1;64;0
1166;1;64;40
1167;1;64;127
1168;1;61;25
1169;1;61;0
1170;1;61;33
1171;1;61;0
1172;1;64;26
1173;1;64;0
1174;1;61;32
1175;1;61;0
1176;1;64;27
1177;1;64;0
1178;1;68;44
1179;1;61;29
1180;1;61;0
1181;1;64;27
1182;1;68;60
1183;1;68;0
1184;1;68;0
1185;1;64;0
1186;1;68;58
1187;1;64;88
1188;1;64;0
1189;1;64;56
1190;1;64;127
1191;1;63;35
1192;1;63;0
1193;1;66;35
1194;1;66;0
1195;1;63;23
1196;1;63;0
1197;1;66;30
1198;1;66;0
1199;1;63;17
1200;1;63;0
1201;1;66;40
1202;1;68;0
1203;1;66;0
1204;1;68;53
1205;1;63;32
1206;1;63;0
1207;1;66;38
1208;1;68;0
1209;1;68;49
1210;1;68;0
1211;1;66;0
1212;1;68;54
1213;1;64;104
1214;1;64;0
1215;1;64;127
1216;1;61;30
1217;1;61;0
1218;1;64;37
1219;1;64;0
1220;1;61;26
1221;1;61;0
1222;1;64;46
1223;1;68;0
1224;1;64;0
1225;1;69;59
1226;1;57;39
1227;1;64;104
1228;1;64;0
1229;1;64;127
1230;1;57;0
1231;1;61;37
1232;1;61;0
1233;1;66;35
1234;1;66;0
1235;1;57;31
1236;1;57;0
1237;1;61;29
1238;1;61;0
1239;1;66;33
1240;1;64;40
1241;1;69;0
1242;1;66;0
1243;1;68;54
1244;1;64;0
1245;1;64;72
1246;1;64;127
1247;1;59;42
1248;1;59;0
1249;1;64;44
1250;1;64;0
1251;1;59;38
1252;1;59;0
1253;1;64;38
1254;1;64;0
1255;1;68;0
1256;1;64;0
1257;1;57;48
1258;1;66;61
1259;1;64;72
1260;1;64;127
1261;1;57;0
1262;1;59;32
1263;1;59;0
1264;1;63;30
1265;1;57;35
1266;1;66;0
1267;1;63;0
1268;1;71;56
1269;1;57;0
1270;1;59;26
1271;1;59;0
1272;1;63;50
1273;1;71;0
1274;1;63;0
1275;1;64;40
1276;1;64;40
1277;1;64;0
1278;1;64;56
1279;1;64;127
1280;1;59;52
1281;1;59;0
1282;1;64;0
1283;1;64;42
1284;1;64;0
1285;1;59;52
1286;1;59;0
1287;1;64;35
1288;1;64;0
1289;1;68;35
1290;1;68;0
1291;1;59;52
1292;1;59;0
1293;1;64;32
1294;1;64;0
1295;1;68;32
1296;1;68;0
1297;1;71;63
1298;1;59;53
1299;1;59;0
1300;1;64;34
1301;1;64;0
1302;1;68;39
1303;1;71;0
1304;1;71;36
1305;1;71;0
1306;1;68;0
1307;1;71;57
1308;1;59;40
1309;1;64;72
1310;1;64;0
1311;1;64;88
1312;1;64;127
1313;1;59;0
1314;1;66;27
1315;1;66;0
1316;1;69;21
1317;1;69;0
1318;1;59;42
1319;1;59;0
1320;1;66;22
1321;1;66;0
1322;1;69;26
1323;1;69;0
1324;1;59;33
1325;1;59;0
1326;1;66;25
1327;1;66;0
1328;1;69;32
1329;1;71;0
1330;1;69;0
1331;1;59;44
1332;1;71;68
1333;1;59;0
1334;1;66;28
1335;1;66;0
1336;1;69;33
1337;1;71;0
1338;1;71;49
1339;1;64;72
1340;1;71;0
1341;1;69;0
1342;1;71;56
1343;1;59;39
1344;1;64;0
1345;1;64;88
1346;1;64;127
1347;1;64;34
1348;1;59;0
1349;1;64;0
1350;1;68;36
1351;1;68;0
1352;1;59;47
1353;1;64;40
1354;1;59;0
1355;1;64;0
1356;1;68;27
1357;1;64;88
1358;1;64;0
1359;1;71;0
1360;1;68;0
1361;1;60;70
1362;1;72;75
1363;1;64;88
1364;1;64;127
1365;1;60;0
1366;1;66;33
1367;1;66;0
1368;1;68;51
1369;1;64;56
1370;1;64;0
1371;1;72;0
1372;1;68;0
1373;1;61;49
1374;1;73;78
1375;1;64;72
1376;1;64;127
1377;1;64;52
1378;1;61;0
1379;1;64;0
1380;1;68;55
1381;1;64;56
1382;1;73;0
1383;1;68;0
1384;1;63;65
1385;1;75;78
1386;1;64;0
1387;1;64;127
1388;1;63;0
1389;1;66;42
1390;1;66;0
1391;1;68;42
1392;1;68;0
1393;1;63;49
1394;1;63;0
1395;1;66;39
1396;1;66;0
1397;1;68;46
1398;1;64;40
1399;1;75;0
1400;1;68;0
1401;1;64;59
1402;1;76;80
1403;1;64;0
1404;1;64;104
1405;1;64;127
1406;1;64;0
1407;1;68;34
1408;1;68;0
1409;1;73;36
1410;1;73;0
1411;1;64;36
1412;1;64;0
1413;1;68;27
1414;1;68;0
1415;1;73;31
1416;1;76;0
1417;1;73;0
1418;1;62;37
1419;1;74;54
1420;1;64;104
1421;1;64;0
1422;1;64;56
1423;1;64;127
1424;1;62;0
1425;1;66;18
1426;1;66;0
1427;1;69;19
1428;1;69;0
1429;1;62;29
1430;1;62;0
1431;1;66;36
1432;1;66;0
1433;1;69;25
1434;1;74;0
1435;1;69;0
1436;1;72;49
1437;1;60;32
1438;1;64;24
1439;1;64;0
1440;1;64;127
1441;1;60;0
1442;1;66;25
1443;1;66;0
1444;1;68;30
1445;1;68;0
1446;1;60;33
1447;1;60;0
1448;1;66;26
1449;1;66;0
1450;1;68;34
1451;1;64;24
1452;1;64;0
1453;1;72;0
1454;1;68;0
1455;1;73;58
1456;1;61;33
1457;1;64;56
1458;1;64;127
1459;1;61;0
1460;1;64;28
1461;1;64;0
1462;1;68;29
1463;1;68;0
1464;1;61;28
1465;1;61;0
1466;1;64;32
1467;1;64;0
1468;1;68;31
1469;1;68;0
1470;1;61;31
1471;1;61;0
1472;1;65;25
1473;1;65;0
1474;1;68;34
1475;1;64;104
1476;1;64;0
1477;1;73;0
1478;1;68;0
1479;1;61;45
1480;1;73;71
1481;1;64;72
1482;1;64;127
1483;1;61;0
1484;1;65;28
1485;1;65;0
1486;1;68;43
1487;1;61;38
1488;1;73;0
1489;1;68;0
1490;1;74;64
1491;1;64;0
1492;1;64;104
1493;1;64;127
1494;1;61;0
1495;1;66;39
1496;1;66;0
1497;1;69;31
1498;1;64;0
1499;1;69;0
1500;1;61;49
1501;1;64;56
1502;1;64;127
1503;1;61;0
1504;1;66;42
1505;1;66;0
1506;1;69;25
1507;1;64;72
1508;1;64;0
1509;1;69;0
1510;1;57;70
1511;1;61;57
1512;1;64;56
1513;1;64;127
1514;1;61;0
1515;1;66;28
1516;1;66;0
1517;1;69;41
1518;1;57;0
1519;1;74;0
1520;1;69;0
1521;1;61;44
1522;1;72;60
1523;1;64;104
1524;1;64;0
1525;1;64;104
1526;1;64;127
1527;1;61;0
1528;1;66;29
1529;1;66;0
1530;1;69;35
1531;1;72;0
1532;1;69;0
1533;1;73;46
1534;1;61;33
1535;1;64;0
1536;1;64;104
1537;1;64;127
1538;1;61;0
1539;1;65;27
1540;1;65;0
1541;1;68;34
1542;1;68;0
1543;1;61;30
1544;1;61;0
1545;1;65;27
1546;1;65;0
1547;1;68;35
1548;1;68;0
1549;1;61;30
1550;1;61;0
1551;1;65;26
1552;1;65;0
1553;1;68;37
1554;1;73;0
1555;1;68;0
1556;1;61;49
1557;1;73;65
1558;1;61;0
1559;1;65;34
1560;1;65;0
1561;1;68;37
1562;1;61;44
1563;1;73;0
1564;1;68;0
1565;1;74;88
1566;1;61;0
1567;1;66;38
1568;1;66;0
1569;1;69;26
1570;1;64;56
1571;1;64;0
1572;1;69;0
1573;1;61;45
1574;1;64;40
1575;1;64;127
1576;1;61;0
1577;1;66;23
1578;1;66;0
1579;1;69;36
1580;1;64;24
1581;1;64;0
1582;1;69;0
1583;1;57;60
1584;1;61;59
1585;1;64;56
1586;1;64;127
1587;1;61;0
1588;1;66;35
1589;1;66;0
1590;1;69;46
1591;1;64;72
1592;1;64;0
1593;1;57;0
1594;1;74;0
1595;1;69;0
1596;1;61;36
1597;1;72;58
1598;1;64;72
1599;1;64;127
1600;1;61;0
1601;1;66;31
1602;1;66;0
1603;1;69;33
1604;1;72;0
1605;1;69;0
1606;1;73;46
1607;1;61;31
1608;1;64;104
1609;1;64;24
1610;1;64;0
1611;1;64;88
1612;1;64;127
1613;1;61;0
1614;1;65;31
1615;1;65;0
1616;1;68;27
1617;1;68;0
1618;1;61;34
1619;1;61;0
1620;1;65;26
1621;1;65;0
1622;1;68;37
1623;1;64;72
1624;1;64;0
1625;1;73;0
1626;1;68;0
1627;1;61;18
1628;1;73;57
1629;1;64;40
1630;1;64;127
1631;1;61;0
1632;1;66;28
1633;1;66;0
1634;1;69;29
1635;1;69;0
1636;1;61;25
1637;1;61;0
1638;1;66;26
1639;1;66;0
1640;1;69;27
1641;1;73;0
1642;1;69;0
1643;1;71;60
1644;1;59;32
1645;1;64;56
1646;1;64;0
1647;1;64;104
1648;1;64;127
1649;1;59;0
1650;1;66;25
1651;1;66;0
1652;1;69;24
1653;1;69;0
1654;1;59;45
1655;1;59;0
1656;1;66;22
1657;1;66;0
1658;1;69;33
1659;1;69;0
1660;1;59;32
1661;1;59;0
